nct,titulo,sponsor,estado_ct,fase,tipo_estudio,fecha_inicio,fecha_fin
NCT06023589,A Study to Investigate the Efficacy and Safety of Tezepelumab Compared With Placebo in Children 5 to < 12 Years Old With Severe Asthma,AstraZeneca,RECRUITING,PHASE3,INTERVENTIONAL,2023-08-24,2030-08-23
NCT06868277,A Global Phase III Study of Rilvegostomig or Pembrolizumab Monotherapy for First-Line Treatment of PD-L1-high Metastatic Non-small Cell Lung Cancer,AstraZeneca,RECRUITING,PHASE3,INTERVENTIONAL,2025-04-10,2030-12-02
NCT07221331,"Prevalence, Clinical Characteristics, Progression, and Management of Neurofibromatosis Type 1 in Egypt (NF1-Egy)",AstraZeneca,RECRUITING,OBSERVATIONAL,OBSERVATIONAL,2025-11-19,2026-09-30
NCT07220954,A Study to Assess the Relative Bioavailability of Different Subcutaneous Formulations ofAZD6234,AstraZeneca,RECRUITING,PHASE1,INTERVENTIONAL,2025-11-11,2027-04-01
NCT07647328,"A Phase IIIb Study to Evaluate Camizestrant Plus Ribociclib in ER-positive, HER2-negative Advanced Breast Cancer",AstraZeneca,RECRUITING,PHASE3,INTERVENTIONAL,2026-06-15,2029-02-28
NCT07245576,Assess Accuracy of Primary Care Asthma and COPD Diagnosis Using Oscillometry and FeNO vs Specialist Diagnosis,AstraZeneca,RECRUITING,OBSERVATIONAL,OBSERVATIONAL,2025-12-26,2027-04-30
NCT07446855,Study of AZD4956 as Monotherapy and in Combination With Anti-Cancer Agents in Participants With Advanced/Metastatic Homologous Recombination Deficient Solid Tumours,AstraZeneca,RECRUITING,PHASE1,INTERVENTIONAL,2026-03-17,2030-03-29
NCT07161388,Durvalumab Consolidation After Chemoradiation Therapy for Limited Stage SCLC in China,AstraZeneca,RECRUITING,OBSERVATIONAL,OBSERVATIONAL,2025-11-17,2028-09-30
NCT07516184,Explore the Diagnostic Value of Bronchodilation Test With Portable Oscillometry in Asthma Diagnosis,AstraZeneca,RECRUITING,NA,INTERVENTIONAL,2026-06-10,2027-06-11
NCT05835310,An Efficacy and Safety Study of Intravenous Anifrolumab to Treat Systemic Lupus Erythematosus in Pediatric Participants,AstraZeneca,RECRUITING,PHASE3,INTERVENTIONAL,2024-03-14,2030-01-09
NCT07361276,Observational Study That Will Evaluate Treatment Patterns in the Management of Hypertension in the Public Primary Care System,AstraZeneca,RECRUITING,OBSERVATIONAL,OBSERVATIONAL,2026-03-31,2026-07-31
NCT06218914,"Phase 1 Study to Investigate TCRTs KRAS Mutation in Unresectable, Advanced, and/or Metastatic Solid Tumors",AstraZeneca,RECRUITING,PHASE1,INTERVENTIONAL,2024-03-22,2043-11-18
NCT07288515,Observ Prosp Study of Acalabrutinib in CLL Therapy in Real Clinical Practice in Belarus,AstraZeneca,RECRUITING,OBSERVATIONAL,OBSERVATIONAL,2025-12-31,2029-12-31
NCT06564038,A Study of AZD0486 Monotherapy or in Combination With Other Anti-Cancer Agents for Mature B-Cell Malignancies,AstraZeneca,RECRUITING,PHASE1,INTERVENTIONAL,2025-01-30,2029-06-11
NCT06594068,"Prospective Registry Investigating Maternal, Infant, and Lactation Outcomes in Anifrolumab Users",AstraZeneca,RECRUITING,PHASE4,INTERVENTIONAL,2026-01-16,2027-08-31
NCT06494540,NIS to Examine the Effectiveness of TDC in Patients With Metastatic Non-squamous NSCLC and High-risk Genetic Alterations,AstraZeneca,RECRUITING,OBSERVATIONAL,OBSERVATIONAL,2024-06-28,2028-06-30
NCT07109154,DeniLA: Comprehensive Demographics and Clinical Profile of NSCLC Patients: Analyzing Guideline-Concordant Care in First-line Treatment Patterns,AstraZeneca,RECRUITING,OBSERVATIONAL,OBSERVATIONAL,2025-11-25,2027-04-30
NCT06350097,"Phase III, Open-label Study of First-line Osimertinib With or Without Datopotamab Deruxtecan for EGFRm Locally Advanced or Metastatic Non-small Cell Lung Cancer",AstraZeneca,RECRUITING,PHASE3,INTERVENTIONAL,2024-04-29,2031-08-29
NCT07404202,"A Multicenter, Non-interventional, Descriptive Study to Assess Assay Concordance of HER2 IHC Testing in Chinese Pan-tumor Patients",AstraZeneca,RECRUITING,OBSERVATIONAL,OBSERVATIONAL,2026-03-06,2026-12-31
NCT06951867,Tezspire Cardiac Events PASS,AstraZeneca,RECRUITING,OBSERVATIONAL,OBSERVATIONAL,2025-09-15,2029-05-31
NCT06883305,A Study to Investigate the Efficacy and Safety of Tezepelumab in Adult Participants With Moderate to Very Severe COPD (D5241C00006),AstraZeneca,RECRUITING,PHASE3,INTERVENTIONAL,2025-03-18,2029-06-05
NCT05489211,Study of Dato-DXd as Monotherapy and in Combination With Anti-cancer Agents in Patients With Advanced Solid Tumours (TROPION-PanTumor03),AstraZeneca,RECRUITING,PHASE2,INTERVENTIONAL,2022-09-06,2027-10-01
NCT07205822,"A Study of Dato-DXd in Inoperable or Metastatic Hormone Receptor-positive, HER2 IHC 0 Breast Cancer",AstraZeneca,RECRUITING,PHASE3,INTERVENTIONAL,2025-10-30,2028-02-02
NCT07295847,A Study of AZD0120 in Autoimmune Diseases,AstraZeneca,RECRUITING,PHASE1,INTERVENTIONAL,2026-01-09,2028-02-22
NCT06742723,A Phase III Renal Outcomes and Cardiovascular Mortality Study to Investigate the Efficacy and Safety of Baxdrostat in Combination With Dapagliflozin in Participants With Chronic Kidney Disease and High Blood Pressure,AstraZeneca,RECRUITING,PHASE3,INTERVENTIONAL,2025-03-03,2029-12-18
NCT07224373,An Open-label Study of AZD0120 in Adults With Multiple Sclerosis,AstraZeneca,RECRUITING,PHASE1,INTERVENTIONAL,2025-12-09,2028-12-07
NCT06031805,PRostate Olaparib Real World Evidence Study,AstraZeneca,RECRUITING,OBSERVATIONAL,OBSERVATIONAL,2023-10-11,2028-10-13
NCT06627647,A Global Phase III Study of Rilvegostomig or Pembrolizumab Plus Chemotherapy for First-Line Treatment of Locally Advanced or Metastatic Non-Squamous NSCLC,AstraZeneca,RECRUITING,PHASE3,INTERVENTIONAL,2024-11-27,2030-11-18
NCT07370194,Observational Study on the Prevalence and Risk Factors of Patients With Hyperkalaemia in Brazil,AstraZeneca,RECRUITING,OBSERVATIONAL,OBSERVATIONAL,2026-03-31,2026-09-30
NCT01348724,"Absorption, Distribution, Metabolism and Excretion (ADME) Study With Single Oral Administration of [14C] NKTR-118",AstraZeneca,COMPLETED,PHASE1,INTERVENTIONAL,2011-06,2011-09
NCT00727883,Retrospective Observational Trial on Reasons for Withdraw of Adjuvant Tamoxifen in Breast Cancer Patients,AstraZeneca,COMPLETED,OBSERVATIONAL,OBSERVATIONAL,2007-07,2008-05
NCT01753427,Perception of Symptom Variability in COPD,AstraZeneca,COMPLETED,OBSERVATIONAL,OBSERVATIONAL,2012-12,2013-11
NCT07518459,"A Study of Absorption, Distribution, Metabolism and Excretion (ADME) of [14C]AZD4144",AstraZeneca,COMPLETED,PHASE1,INTERVENTIONAL,2026-02-11,2026-05-26
NCT01044459,"Long-term Safety, Tolerability and Efficacy of Aclidinium Bromide in Patients With Moderate to Severe Chronic Obstructive Pulmonary Disease (COPD) (LAS-MD-35)",AstraZeneca,COMPLETED,PHASE3,INTERVENTIONAL,2009-11,2011-04
NCT01768403,Centralised Pan-Algerian Survey on the Undertreatment of Hypercholesterolemia,AstraZeneca,COMPLETED,OBSERVATIONAL,OBSERVATIONAL,2010-09,2011-03
NCT01646320,Safety and Efficacy of Dapagliflozin in Triple Therapy to Treat Subjects With Type 2 Diabetes,AstraZeneca,COMPLETED,PHASE3,INTERVENTIONAL,2012-09,2015-02
NCT06742762,"A Phase I Study to Investigate the Effect of Renal Impairment on the Pharmacokinetics, Safety, and Tolerability of AZD5004",AstraZeneca,COMPLETED,PHASE1,INTERVENTIONAL,2024-12-17,2025-04-20
NCT00771979,Relative Bioavailability of Phase II and Phase III Formulations of AZD0530,AstraZeneca,COMPLETED,PHASE1,INTERVENTIONAL,2008-11,2009-03
NCT00363896,A Trial Assessing LAS34273 in Moderate to Severe Stable Chronic Obstructive Pulmonary Disease (COPD),AstraZeneca,COMPLETED,PHASE3,INTERVENTIONAL,2006-07,2008-05
NCT00108823,The HERO-study: Effects of Roflumilast in Patients With COPD (Chronic Obstructive Pulmonary Disease) (BY217/M2-121),AstraZeneca,COMPLETED,PHASE3,INTERVENTIONAL,2004-10,
NCT05169619,Prevalence and Characterisation of Asthma Patients According to Disease Severity in Portugal,AstraZeneca,COMPLETED,OBSERVATIONAL,OBSERVATIONAL,2021-04-30,2024-03-06
NCT05933044,RELEVANCE - RWE Study in Unresectable Non-Small Cell Lung Cancer (Stage III) in Canada,AstraZeneca,COMPLETED,OBSERVATIONAL,OBSERVATIONAL,2021-11-19,2022-08-31
